file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
./testing/chicken.wav,0 days 00:00:03.010000,0 days 00:00:03.030000,0.08503578,-38.102905,51.63745,0.003712536,-0.0065753423,0.04446757,36.180603,33.470005,26.26371,23.466509,24.867062,0.0032796634,0.8791915,5.330924,33.47439,53.43041,386.28613,1224.372,-82.92299,1459.9933,1154.8564,-94.19625,2568.4963,1013.74805,-96.227
./testing/chicken.wav,0 days 00:00:03.020000,0 days 00:00:03.040000,0.07034165,-35.662647,48.814865,-0.008368145,-0.005851369,0.06880711,33.521683,32.844242,25.28865,19.744616,0.0,0.0,0.0,0.0,0.0,0.0,365.69687,1315.6127,-142.07256,1381.1866,1184.4121,-147.55846,2591.6462,821.0681,-148.3448
./testing/chicken.wav,0 days 00:00:03.030000,0 days 00:00:03.050000,0.05846287,-32.318077,43.599136,-0.008426496,-0.0041998285,0.06031012,30.278152,29.597595,24.470062,19.696272,0.0,0.0,0.0,0.0,0.0,0.0,348.42313,1325.6376,-201.0,1375.5951,1090.9357,-201.0,2536.2715,724.69775,-201.0
./testing/chicken.wav,0 days 00:00:03.040000,0 days 00:00:03.060000,0.04566905,-28.119497,39.088085,-0.030575687,-0.001857284,0.04716025,26.013056,26.28364,22.889616,21.606833,0.0,0.0,0.0,0.0,0.0,0.0,290.28873,1407.6207,-201.0,1355.6593,966.9372,-201.0,2571.722,619.75385,-201.0
./testing/chicken.wav,0 days 00:00:03.050000,0 days 00:00:03.070000,0.038288075,-21.207369,30.871695,-0.010296461,-0.0011023724,0.02436339,21.069233,18.356497,15.667539,20.45157,0.0,0.0,0.0,0.0,0.0,0.0,347.28476,1382.2852,-201.0,1410.7223,1008.03046,-201.0,2534.5242,709.53107,-201.0
./testing/chicken.wav,0 days 00:00:03.060000,0 days 00:00:03.080000,0.032472033,-18.396507,28.283182,0.004632944,0.00097381184,0.019843819,18.055317,17.092562,10.775357,20.36692,0.0,0.0,0.0,0.0,0.0,0.0,669.102,1274.733,-201.0,1780.6821,906.9004,-201.0,2863.1658,1121.6947,-201.0
./testing/chicken.wav,0 days 00:00:03.070000,0 days 00:00:03.090000,0.02978695,-15.815895,25.525118,0.0073588365,0.0019433735,0.011378274,16.371704,14.850422,8.047402,20.330063,0.0,0.0,0.0,0.0,0.0,0.0,963.9714,1059.0482,-201.0,2105.5703,944.7192,-201.0,3029.3213,1437.4701,-201.0
./testing/chicken.wav,0 days 00:00:03.080000,0 days 00:00:03.100000,0.02818474,-17.844202,28.001633,0.010509643,0.0021302374,0.0055555836,17.419298,17.916021,10.464607,23.583105,0.0,0.0,0.0,0.0,0.0,0.0,1195.2152,965.791,-201.0,2434.1946,726.011,-201.0,3345.0925,1617.7281,-201.0
./testing/chicken.wav,0 days 00:00:03.090000,0 days 00:00:03.110000,0.026124278,-15.598575,25.539484,0.030551054,0.0043177926,0.003821866,16.800615,15.467487,8.729636,21.473328,0.0,0.0,0.0,0.0,0.0,0.0,1115.2314,1032.1556,-201.0,2348.0173,955.44434,-201.0,3095.6848,1391.0458,-201.0
./testing/chicken.wav,0 days 00:00:03.100000,0 days 00:00:03.120000,0.025942974,-15.326428,24.431158,0.046117485,0.004153825,0.002567476,16.493073,15.615616,9.72572,19.528582,0.0,0.0,0.0,0.0,0.0,0.0,1144.9655,1142.548,-201.0,2259.3933,1302.0956,-201.0,2961.8933,1122.6764,-201.0
./testing/chicken.wav,0 days 00:00:03.110000,0 days 00:00:03.130000,0.027489131,-11.809743,20.312952,0.06144552,0.0044262866,0.0034811508,14.09792,12.210605,9.388997,16.197235,0.0,0.0,0.0,0.0,0.0,0.0,880.82745,1147.8237,-201.0,1955.2006,1265.6855,-201.0,2662.3958,918.71674,-201.0
./testing/chicken.wav,0 days 00:00:03.120000,0 days 00:00:03.140000,0.030661896,-8.919318,16.780891,0.066302985,0.0004538816,0.0030209932,11.648126,9.426009,9.671103,13.753803,0.0,0.0,0.0,0.0,0.0,0.0,682.17206,1059.0842,-201.0,1665.7233,1023.01685,-201.0,2597.258,701.508,-201.0
